Name		 RA (J2000)	 Dec (J2000)	 Vsys   Type	 Reference
NGC 23		 00:09:53.6	 +25:55:23	 4565	Jet	 Braatz08
NGC 17 	 	 00:11:06.5 	 -12:06:26 	 5931	Other	 Greenhill09
J0011-0054 	 00:11:45.2 	 -00:54:31 	 14384	Jet 	 6A09
J0027+4544 	 00:27:25.3 	 45:44:27 	 12003	Other	 9C51/10C19
NGC 235A 	 00:42:52.8 	 -23:32:28 	 6664 	Other	 Kondratko03
Mrk 348 	 00:48:47.1 	 +31:57:25 	 4507 	Jet	 Falcke00
NGC 291 	 00:53:29.9 	 -08:46:04 	 5705 	Other	 6A09
ESO 013-G012 	 01:07:02.2 	 -80:18:28 	 5047 	Other	 Greenhill02
Mrk 1 		 01:16:07.2 	 +33:05:22 	 4780 	Disk	 Braatz94
NGC 520 	 01:24:35.07 	 +03:47:32.7 	 2281 	Other	 Castangia08
J0126-0417 	 01:26:01.66 	 -04:17:56.2 	 5639 	Disk	 6dF
NGC 591 	 01:33:31.2 	 +35:40:06 	 4547 	Disk	 Braatz04
NGC 613 	 01:34:18.2 	 -29:25:07 	 1475 	Jet	 Kondratko03
IC 0184 	 01:59:51.2 	 -06:50:25 	 5287 	Other	 Kondratko06
J0214-0016 	 02:14:05.9 	 -00:16:37 	 11205 	Jet	 6A09
Mrk 1029 	 02:17:03.57 	 +05:17:31.4 	 9076 	Disk	 2MRS
NGC 1052 	 02:41:04.8 	 -08:15:21 	 1470 	Jet	 Braatz94
NGC 1068 	 02:42:40.7 	 -00:00:48 	 1137 	Disk	 Claussen84
NGC 1106 	 02:50:40.51 	 +41:40:17.4 	 4337 	Other	 Braatz08
J0253-0014 	 02:53:29.60 	 -00:14:05.6 	 8622 	Other	 6A09
Mrk 1066 	 02:59:58.6 	 +36:49:14 	 3605 	Other	 Henkel05
NGC 1194 	 03:03:49.11 	 -01:06:13.4 	 4076 	Disk	 6A09
NGC 1320 	 03:24:48.7 	 -03:02:32 	 2663 	Disk	 Greenhill09
J0336-0750 	 03:36:46.16 	 -07:50:23.6 	 11719 	Other	 6dF
NGC 1386 	 03:36:46.4 	 -36:00:02 	 868 	Disk	 Braatz96
J0338+0114 	 03:38:10.4 	 +01:14:18 	 11926 	Jet	 Kondratko03
J0350-0127 	 03:50:00.35 	 -01:27:57.7 	 12376  Jet	 9C51/10C19
J0414+0534 	 04:14:37.77 	 05:34:42.4 	 z=2.64 Other	 Impellizzeri08
J0437+2456 	 04:37:03.67 	 +24:56:06.8 	 4835 	Disk	 9C51/10C19
J0437+6637 	 04:37:08.26 	 66:37:42.3 	 3770 	Disk	 9C51/10C19
IRAS 04385-0828  04:40:54.97 	 -08:22:22.2 	 4527   Other    8C35
UGC 3157 	 04:46:29.76 	 18:27:39.3 	 4619   Disk      
UGC 3193 	 04:52:52.7 	 +03:03:24 	 4454   Disk	 Braatz08
Mrk 1089 	 05:01:37.76 	 -04:15:28.4 	 4019   Other	 2MRS
CGCG468-002  	 05:08:19.69 	 +17:21:48.1 	 5248 	Other    BAT
UGC 3255         05:09:50.2 	 +07:29:00 	 5669 	Jet	 Braatz04
UGCA 116         05:55:42.63 	 +03:23:31.8 	 789 	Jet	 2MRS
Mrk 3 	         06:15:36.3 	 +71:02:15 	 4050 	Other	 Braatz04
VII Zw 073       06:30:25.6 	 +63:40:41 	 11899 	Other	 Kondratko06
NGC 2273         06:50:08.7 	 +60:50:45 	 1840 	Disk	 Zhang06
ESO558-G009      07:04:21.02 	 -21:35:19.2 	 7674   Disk     9C51/10C19
UGC 3789         07:19:31.6 	 +59:21:21 	 3243 	Disk     Braatz08
NGC 2410         07:35:02.2 	 +32:49:20 	 4681 	Other    6A09
Mrk 78 	 	 07:42:41.7 	 +65:10:37 	 11137 	Disk     Braatz04
